"PF00004","1nsf","Alpha and beta proteins (a/b)","Ploop containing nucleoside triphosphate hydrolases","Ploop containing nucleoside triphosphate hydrolases","Extended AAAATPase domain"
"PF00005","1b0u","Alpha and beta proteins (a/b)","Ploop containing nucleoside triphosphate hydrolases","Ploop containing nucleoside triphosphate hydrolases","ABC transporter ATPase domainlike"
"PF00006","1bmf","Alpha and beta proteins (a/b)","Ploop containing nucleoside triphosphate hydrolases","Ploop containing nucleoside triphosphate hydrolases","RecA proteinlike (ATPasedomain)"
"PF00009","1etu","Alpha and beta proteins (a/b)","Ploop containing nucleoside triphosphate hydrolases","Ploop containing nucleoside triphosphate hydrolases","G proteins"
"PF00010","1mdy","All alpha proteins","HLH-like","HLH helix-loop-helix DNA-binding domain","HLH helix-loop-helix DNA-binding domain"
"PF00011","1shs","All beta proteins","HSP20-like chaperones","HSP20-like chaperones","HSP20"
"PF00012","3hsc","Alpha and beta proteins (a/b)","Ribonuclease Hlike motif","Actinlike ATPase domain","Actin/HSP"
"PF00013","1vig","Alpha and beta proteins (a+b)","Eukaryotic type KHdomain (KHdomain type I)","Eukaryotic type KHdomain (KHdomain type I)","Eukaryotic type KHdomain (KHdomain type I)"
"PF00016","3rub","Alpha and beta proteins (a/b)","TIM beta/alpha-barrel","RuBisCo C-terminal domain","RuBisCo large subunit C-terminal domain"
"PF00017","1sha","Alpha and beta proteins (a+b)","SHlike","SH domain","SH domain"
"PF00018","1shf","All beta proteins","SHlike barrel","SHdomain","SHdomain"
"PF00022","2btf","Alpha and beta proteins (a/b)","Ribonuclease Hlike motif","Actinlike ATPase domain","Actin/HSP"
"PF00023","1awc","All alpha proteins","DNA/RNAbinding helical bundle","""Winged helix"" DNAbinding domain","ets domain"
"PF00025","1hur","Alpha and beta proteins (a/b)","Ploop containing nucleoside triphosphate hydrolases","Ploop containing nucleoside triphosphate hydrolases","G proteins"
"PF00027","1cgp","All alpha proteins","DNA/RNAbinding helical bundle","""Winged helix"" DNAbinding domain","CAP Cterminal domainlike"
"PF00028","1nci","All beta proteins","Immunoglobulin-like beta-sandwich","Cadherin-like","Cadherin"
"PF00030","4gcr","All beta proteins","gammaCrystallinlike","gammaCrystallinlike","Crystallins/Cabinding development proteins"
"PF00031","1cew","Alpha and beta proteins (a+b)","Cystatinlike","Cystatin/monellin","Cystatins"
"PF00032","1bcc","All alpha proteins","Cytochrome c","Cytochrome c","Cytochrome bc1 domain"
"PF00033","3bcc","All alpha proteins","Cytochrome c","Cytochrome c","Cytochrome bc domain"
"PF00034","1cry","All alpha proteins","Cytochrome c","Cytochrome c","monodomain cytochrome c"
"PF00035","1stu","Alpha and beta proteins (a+b)","dsRBDlike","dsRNAbinding domainlike","Doublestranded RNAbinding domain (dsRBD)"
"PF00036","1osa","All alpha proteins","EF Hand-like","EF-hand","Calmodulin-like"
"PF00037","5fd1","Alpha and beta proteins (a+b)","Ferredoxinlike","FeS ferredoxins","Fe ferredoxin"
"PF00041","1ttf","All beta proteins","Immunoglobulinlike betasandwich","Fibronectin type III","Fibronectin type III"
"PF00042","1hba","All alpha proteins","Globin-like","Globin-like","Globins"
"PF00043","2gst","All alpha proteins","GST C-terminal domain-like","GST C-terminal domain-like","Glutathione S-transferase (GST) C-terminal domain"
"PF00044","1gd1","Alpha and beta proteins (a/b)","NAD(P)binding Rossmannfold domains","NAD(P)binding Rossmannfold domains","Glyceraldehydephosphate dehydrogenaselike Nterminal domain"
"PF00045","1hxn","All beta proteins","4-bladed beta-propeller","Hemopexin-like domain","Hemopexin-like domain"
"PF00046","1ahd","All alpha proteins","DNA/RNA-binding 3-helical bundle","Homeodomain-like","Homeodomain"
"PF00047","8fab","All beta proteins","Immunoglobulin-like beta-sandwich","Immunoglobulin","V set domains (antibody variable domain-like)"
"PF00048","3il8","Alpha and beta proteins (a+b)","ILlike","Interleukin like chemokines","Interleukin like chemokines"
"PF00050","3sgb","All beta proteins","Trypsinlike serine proteases","Trypsinlike serine proteases","Prokaryotic proteases"
"PF00054","1qu0","All beta proteins","Concanavalin Alike lectins/glucanases","Concanavalin Alike lectins/glucanases","Laminin Glike module"
"PF00056","6ldh","Alpha and beta proteins (a/b)","NAD(P)binding Rossmannfold domains","NAD(P)binding Rossmannfold domains","LDH Nterminal domainlike"
"PF00059","2msb","Alpha and beta proteins (a+b)","Ctype lectinlike","Ctype lectinlike","Ctype lectin domain"
"PF00060","1gr2","Alpha and beta proteins (a/b)","Periplasmic binding proteinlike II","Periplasmic binding proteinlike II","Phosphate binding proteinlike"
"PF00061","1hms","All beta proteins","Lipocalins","Lipocalins","Fatty acid binding protein-like"
"PF00062","1lzb","Alpha and beta proteins (a+b)","Lysozymelike","Lysozymelike","Ctype lysozyme"
"PF00064","2bat","All beta proteins","6-bladed beta-propeller","Sialidases","Sialidases (neuraminidases)"
"PF00067","2cpp","All alpha proteins","Cytochrome P","Cytochrome P","Cytochrome P"
"PF00068","1bbc","All alpha proteins","Phospholipase A PLA","Phospholipase A PLA","Vertebrate phospholipase A"
"PF00069","1apm","Alpha and beta proteins (a+b)","Protein kinaselike (PKlike)","Protein kinaselike (PKlike)","Protein kinases catalytic subunit"
"PF00070","3lad","Alpha and beta proteins (a/b)","FAD/NAD(P)-binding domain","FAD/NAD(P)-binding domain","FAD/NAD-linked reductases N-terminal and central domains"
"PF00071","5p21","Alpha and beta proteins (a/b)","Ploop containing nucleoside triphosphate hydrolases","Ploop containing nucleoside triphosphate hydrolases","G proteins"
"PF00072","3chy","Alpha and beta proteins (a/b)","Flavodoxinlike","CheYlike","CheYrelated"
"PF00073","4rhv","All beta proteins","Nucleoplasminlike/VP (viral coat and capsid proteins)","Positive stranded ssRNA viruses","Picornaviridaelike VP (VP VP VP and VP)"
"PF00074","7rsa","Alpha and beta proteins (a+b)","RNase Alike","RNase Alike","Ribonuclease Alike"
"PF00075","1hrh","Alpha and beta proteins (a/b)","Ribonuclease Hlike motif","Ribonuclease Hlike","Ribonuclease H"
"PF00076","1sxl","Alpha and beta proteins (a+b)","Ferredoxinlike","RNAbinding domain RBD","Canonical RBD"
"PF00077","1ida","All beta proteins","Acid proteases","Acid proteases","Retroviral protease (retropepsin)"
"PF00078","1hmv","Alpha and beta proteins (a/b)","Ribonuclease Hlike motif","Ribonuclease Hlike","Ribonuclease H"
"PF00079","1hle","Multidomain proteins (alpha and beta)","Serpins","Serpins","Serpins"
"PF00080","1sdy","All beta proteins","Immunoglobulinlike betasandwich","CuZn superoxide dismutaselike","CuZn superoxide dismutaselike"
"PF00082","1cse","Alpha and beta proteins (a+b)","CI family of serine protease inhibitors","CI family of serine protease inhibitors","CI family of serine protease inhibitors"
"PF00085","3trx","Alpha and beta proteins (a/b)","Thioredoxin fold","Thioredoxinlike","Thioltransferase"
"PF00086","1icf","Alpha and beta proteins (a+b)","Cysteine proteinases","Cysteine proteinases","Papainlike"
"PF00091","1tub","Alpha and beta proteins (a/b)","Tubulin nucleotidebinding domainlike","Tubulin nucleotidebinding domainlike","Tubulin GTPase domain"
"PF00092","1lfa","Alpha and beta proteins (a/b)","vWAlike","vWAlike","Integrin A (or I) domain"
"PF00095","1fle","All beta proteins","Trypsinlike serine proteases","Trypsinlike serine proteases","Eukaryotic proteases"
"PF00101","3rub","Alpha and beta proteins (a/b)","TIM beta/alpha-barrel","RuBisCo C-terminal domain","RuBisCo large subunit C-terminal domain"
"PF00102","1ypt","Alpha and beta proteins (a/b)","(Phosphotyrosine protein) phosphatases II","(Phosphotyrosine protein) phosphatases II","Highermolecularweight phosphotyrosine protein phosphatases"
"PF00103","1huw","All alpha proteins","4-helical cytokines","4-helical cytokines","Long-chain cytokines"
"PF00104","1lbd","All alpha proteins","3 Nuclear receptor ligand-binding domain","1 Nuclear receptor ligand-binding domain","1 Nuclear receptor ligand-binding domain"
"PF00106","1hdc","Alpha and beta proteins (a/b)","NAD(P)-binding Rossmann-fold domains","NAD(P)-binding Rossmann-fold domains","Tyrosine-dependent oxidoreductases"
"PF00107","1hdx","Alpha and beta proteins (a/b)","NAD(P)binding Rossmannfold domains","NAD(P)binding Rossmannfold domains","Alcohol dehydrogenaselike Cterminal domain"
"PF00108","1pxt","Alpha and beta proteins (a/b)","Thiolaselike","Thiolaselike","Thiolaserelated"
"PF00109","1kas","Alpha and beta proteins (a/b)","Thiolaselike","Thiolaselike","Thiolaserelated"
"PF00112","1aec","Alpha and beta proteins (a+b)","Cysteine proteinases","Cysteine proteinases","Papainlike"
"PF00113","1els","Alpha and beta proteins (a/b)","TIM beta/alphabarrel","Enolase Cterminal domainlike","Enolase"
"PF00115","1occ","All alpha proteins","Cytochrome c oxidase subunit h","Cytochrome c oxidase subunit h","Cytochrome c oxidase subunit h"
"PF00116","1occ","All alpha proteins","Cytochrome c oxidase subunit h","Cytochrome c oxidase subunit h","Cytochrome c oxidase subunit h"
"PF00117","1gpm","Alpha and beta proteins (a/b)","Flavodoxinlike","Class I glutamine amidotransferaselike","Class I glutamine amidotransferases (GAT)"
"PF00118","1grl","All alpha proteins","9 GroEL equatorial domain-like","1 GroEL equatorial domain-like","1 GroEL chaperone ATPase domain"
"PF00120","2gls","Alpha and beta proteins (a+b)","Glutamine synthetase/guanido kinase","Glutamine synthetase/guanido kinase","la typhimurium"
"PF00121","1tph","Alpha and beta proteins (a/b)","TIM beta/alpha-barrel","Triosephosphate isomerase (TIM)","Triosephosphate isomerase (TIM)"
"PF00124","1prc","All alpha proteins","8 Multiheme cytochromes","1 Multiheme cytochromes","2 Photosynthetic reaction centre (cytochrome subunit)"
"PF00125","1hio","All alpha proteins","Histone-fold","Histone-fold","Nucleosome core histones"
"PF00126","1al3","Alpha and beta proteins (a/b)","Periplasmic binding proteinlike II","Periplasmic binding proteinlike II","Phosphate binding proteinlike"
"PF00127","1plc","All beta proteins","Cupredoxin-like","Cupredoxins","Plastocyanin/azurin-like"
"PF00128","1ppi","Alpha and beta proteins (a/b)","TIM beta/alpha-barrel","(Trans)glycosidases","Amylase catalytic domain"
"PF00129","1hsa","All beta proteins","Immunoglobulinlike betasandwich","Immunoglobulin","C set domains (antibody constant domainlike)"
"PF00130","2cpk","Alpha and beta proteins (a+b)","Protein kinaselike (PKlike)","Protein kinaselike (PKlike)","Protein kinases catalytic subunit"
"PF00132","1lxa","All beta proteins","Singlestranded lefthanded betahelix","Trimeric LpxAlike enzymes","UDP Nacetylglucosamine acyltransferase"
"PF00133","1a8h","Alpha and beta proteins (a/b)","Adenine nucleotide alpha hydrolaselike","Nucleotidylyl transferase","Class I aminoacyltRNA synthetases (RS) catalytic domain"
"PF00134","1vin","All alpha proteins","Cyclin-like","Cyclin-like","Cyclin"
"PF00135","1acj","Alpha and beta proteins (a/b)","alpha/betaHydrolases","alpha/betaHydrolases","Acetylcholinesteraselike"
"PF00136","1noy","Alpha and beta proteins (a/b)","Ribonuclease Hlike motif","Ribonuclease Hlike","DnaQlike  exonuclease"
"PF00139","1lem","All beta proteins","Concanavalin Alike lectins/glucanases","Concanavalin Alike lectins/glucanases","Legume lectins"
"PF00140","1sig","All alpha proteins","7 Sigma2 domain of RNA polymerase sigma factors","1 Sigma2 domain of RNA polymerase sigma factors","1 Sigma2 domain of RNA polymerase sigma factors"
